,precision,recall,f1-score,support
Blight,0.0,0.0,1.0,2.0
Common_Rust,1.0,0.0,0.0,4.0
Gray_Leaf_Spot,0.9239130434782609,0.9883720930232558,0.9550561797752809,86.0
Healthy,1.0,0.5,0.6666666666666666,2.0
accuracy,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.9148936170212766
macro avg,0.7309782608695652,0.37209302325581395,0.6554307116104868,94.0
weighted avg,0.9091119333950046,0.9148936170212766,0.9092357956809308,94.0
