,precision,recall,f1-score,support
Class_0,0.0,1.0,0.0,0.0
Class_1,0.16666666666666666,1.0,0.2857142857142857,2.0
Class_2,1.0,0.043478260869565216,0.08333333333333333,23.0
Class_3,0.4,1.0,0.5714285714285715,2.0
accuracy,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517
macro avg,0.3916666666666667,0.7608695652173914,0.23511904761904762,27.0
weighted avg,0.8938271604938272,0.18518518518518517,0.13447971781305115,27.0
